Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"58 BRECKENRIDGE Drive, Kitchener, ON",Single Family,659900,1270,2838,3,2
"11 HAMPTON Place, Kitchener, ON",Single Family,800000,2185,4251,3,2
"927 GLASGOW Street Unit# B, Kitchener, ON",Condo,619000,N/A,N/A,3,2
"271 EIWO Court Unit# 206, Waterloo, ON",Condo,425000,906,2329,2,1
"6 WILLOW Street Unit# 1704, Waterloo, ON",Condo,699900,1461,N/A,2,2
"15 YARROW COURT, Kitchener, ON",Single Family,999999,N/A,N/A,4,4
"514 KRUG STREET, Kitchener, ON",Single Family,965000,N/A,N/A,5,3
"B14 - 24 MORRISON ROAD, Kitchener, ON",Condo,619000,N/A,N/A,3,2
"32 SOUTHDALE Avenue, Kitchener, ON",Single Family,649900,1475,3526,3,2
"205 PROSPERITY Drive, Kitchener, ON",Single Family,799900,N/A,4659,3,2
