Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"91 WATER STREET S, Cambridge, ON",Single Family,1395000,N/A,3750,7,4
"90 DONNENWERTH DRIVE, Kitchener, ON",Single Family,699900,N/A,N/A,3,3
"479 PINETREE CRESCENT, Cambridge, ON",Single Family,579000,N/A,N/A,3,2
"1171 GEDDES Street, Hawkesville, ON",Single Family,3000000,N/A,N/A,5,5
"1249 NOTRE DAME Drive, Petersburg, ON",Single Family,1250000,2315,4807,5,2
"43 CARDINAL Crescent S, Waterloo, ON",Single Family,1586000,3650,8398,4,5
"108 WOODLAWN Road E Unit# 1, Guelph, ON",Condo,685000,N/A,N/A,3,3
"112 BENTON Street Unit# 116, Kitchener, ON",Condo,585000,1158,N/A,2,2
"60 CHARLES Street W Unit# 2908, Kitchener, ON",Condo,750000,929,N/A,2,2
"360 WATERLOO Avenue Unit# 209, Guelph, ON",Condo,399900,1077,N/A,2,2
"212 - 251 NORTHFIELD DRIVE E, Waterloo, ON",Condo,629900,N/A,N/A,2,2
"308 LESTER Street Unit# 215, Waterloo, ON",Condo,540000,853,N/A,2,2
"1010 - 104 GARMENT STREET, Kitchener, ON",Condo,449000,N/A,3006,2,1
"60 FREDERICK ST Street Unit# 3514, Kitchener, ON",Condo,549000,N/A,N/A,2,2
"42 CULPEPPER Drive, Waterloo, ON",Single Family,1050000,2546,N/A,4,2
"151 CITYVIEW Drive N, Guelph, ON",Single Family,1499900,4140,N/A,6,4
"110 FERGUS Avenue Unit# 416, Kitchener, ON",Condo,375000,N/A,N/A,1,1
"276 EIWO Court Unit# 305, Waterloo, ON",Condo,425000,866,2329,2,1
"505 MARGARET Street Unit# 414, Cambridge, ON",Condo,600000,N/A,N/A,2,2
"217 WINFIELD Avenue, Waterloo, ON",Single Family,999000,N/A,N/A,5,2
"525 NEW DUNDEE Road Unit# 222, Kitchener, ON",Condo,632000,912,N/A,2,2
"525 NEW DUNDEE Road Unit# 105, Kitchener, ON",Condo,685000,1065,N/A,2,2
"903 - 1880 GORDON STREET, Guelph (Clairfields), ON",Condo,749000,N/A,N/A,2,2
"108 GARMENT Street Unit# 1106, Kitchener, ON",Condo,425000,636,N/A,2,1
"1191 SHEFFIELD Road, Flamborough, ON",Agricultural,2800000,1680,3543,3,1
"1191 SHEFFIELD Road, Flamborough, ON",Single Family,2800000,1680,3543,3,1
"22 MARILYN Drive Unit# 701, Guelph, ON",Condo,549900,1557,2937,3,2
"389 LAUREL GATE Drive, Waterloo, ON",Single Family,749900,1810,N/A,3,3
"525 ERINBROOK Drive Unit# B026, Kitchener, ON",Condo,589900,1430,N/A,3,2
"50 DREW Street, Guelph, ON",Single Family,874900,1202,4707,3,2
"243 CONNAUGHT Street, Kitchener, ON",Single Family,749000,N/A,N/A,4,3
"565 SUNDEW Drive, Waterloo, ON",Single Family,1288888,N/A,N/A,5,4
"225 LIVINGSTON Boulevard, Baden, ON",Single Family,1149000,4556,N/A,4,4
"162 WEBER Street W, Kitchener, ON",Single Family,999000,2572,N/A,5,4
"162 WEBER Street W, Kitchener, ON",MultiFamily,999000,2572,N/A,5,4
"63 ARTHUR Street Unit# 704, Guelph, ON",Condo,649900,1102,N/A,3,2
"508 TOPPER WOODS Crescent, Kitchener, ON",Single Family,1599900,5255,N/A,6,5
"60 ELMSDALE Drive Unit# 63, Kitchener, ON",Condo,499900,1609,N/A,3,2
"300 KEATS Way Unit# 507, Waterloo, ON",Condo,450000,1250,2825,2,2
"260 DEER RIDGE Drive Unit# 32, Kitchener, ON",Condo,1299900,3445,7842,3,3
"216 - 15 HOFSTETTER AVENUE, Kitchener, ON",Condo,319900,N/A,2084 (2023),3,2
"1307 - 60 FREDERICK STREET, Kitchener, ON",Condo,490000,N/A,N/A,2,2
"B03 - 275 LARCH STREET, Waterloo, ON",Condo,415000,N/A,1989,1,1
"35 KINGSBURY Square Unit# 109, Guelph, ON",Condo,518000,760,N/A,2,1
"1878 GORDON Street Unit# 1202, Guelph, ON",Condo,1399900,1806,N/A,4,2
"123 KRUG STREET, Kitchener, ON",Single Family,1085000,N/A,N/A,5,3
"108 LOVETT Lane, Guelph, ON",Single Family,1749999,3608,7200,5,4
"53 SANDWELL Court W, Kitchener, ON",Single Family,1147000,2579,N/A,5,4
"324 MAPLE Avenue, Kitchener, ON",Single Family,799999,2315,N/A,8,3
"374 LOUISA Street, Kitchener, ON",MultiFamily,799000,1560,N/A,3,2
"81 CHURCH Street Unit# 404, Kitchener, ON",Condo,419900,1037,2505,3,2
"45 ISABELLA Street, Plattsville, ON",Single Family,549900,1696,N/A,4,1
"1880 GORDON Street Unit# 611, Guelph, ON",Condo,914900,1649,N/A,2,2
"106 BARD Boulevard Unit# 408, Guelph, ON",Condo,979900,2150,N/A,2,3
"181 KING Street S Unit# 914, Waterloo, ON",Condo,774900,1102,N/A,2,2
"293 FAIRWAY Road N Unit# 23, Kitchener, ON",Condo,425000,1075,N/A,2,2
"8A - 50 HOWE DRIVE, Kitchener, ON",Condo/Townhome,599900,N/A,2702 (2023),3,2
"1536 TYE Road, New Hamburg, ON",Agricultural,4199000,4712,N/A,3,3
"280 LESTER Street Unit# 11, Waterloo, ON",Condo,590000,810,8116,N/A,0
"135 CHALMERS Street S Unit# 70, Cambridge, ON",Condo,499900,1150,N/A,2,1
"196 BREWERY Street Unit# 7, Baden, ON",Condo,659900,1430,N/A,3,3
"49 MEADOWRIDGE Street, Kitchener, ON",Single Family,796000,1474,N/A,3,4
"170 WATER Street N Unit# 310, Cambridge, ON",Condo,395000,610,3010,1,1
"100 HIGH ACRES Crescent, Kitchener, ON",Single Family,1199000,3754,N/A,5,4
"75 WILFRED Avenue, Kitchener, ON",Single Family,999900,2906,N/A,6,5
"380 RED OSIER Road, Waterloo, ON",Single Family,1150000,3168,N/A,4,4
"720 SUNDEW Drive, Waterloo, ON",Single Family,1450000,N/A,N/A,6,5
"75 WILFRED Avenue, Kitchener, ON",MultiFamily,999900,2906,N/A,6,5
"8 GERRARD Avenue, Cambridge, ON",Single Family,849900,N/A,4633,3,2
"3212 ROSEVILLE Road, Roseville, ON",Single Family,949999,2377,N/A,6,3
"93 STIRLING Avenue S, Kitchener, ON",Single Family,789900,2864,N/A,4,4
"191 KING Street S Unit# 1202, Waterloo, ON",Condo,537000,674,N/A,1,2
"169 BECHTEL Street Unit# 4, Cambridge, ON",Condo,394900,800,N/A,2,1
"108 BRANT AVE, Guelph, ON",Single Family,725000,1580,3786,4,2
"158 WATER Street, St. Jacobs, ON",Single Family,1499900,5050,7517,4,4
"138 DUBLIN Street N, Guelph, ON",Single Family,2229000,3316,12057,4,3
"33 HILLTOP Drive, Ayr, ON",Single Family,739900,1038,N/A,4,2
"29 - 107 WESTRA DRIVE, Guelph (West Willow Woods), ON",Condo,699900,N/A,N/A,3,3
"8H - 1460 HIGHLAND ROAD W, Kitchener, ON",Condo,535000,N/A,3213 (2024),3,2
"52 CANNING CRESCENT, Cambridge, ON",Single Family,1389900,N/A,7700,6,4
"55 PARKWOOD DRIVE, Cambridge, ON",Single Family,599999,N/A,N/A,2,2
"190 HESPELER Road Unit# 1706, Cambridge, ON",Condo,525000,1355,N/A,2,2
"42 GRASSWOOD Street, Kitchener, ON",Single Family,1899000,N/A,8693,4,4
"57 INVERNESS Drive, Cambridge, ON",Single Family,825000,N/A,N/A,3,2
"16 JOSEPH Street, Guelph, ON",Single Family,864500,1891,4934,4,2
"24 MARILYN Drive Unit# 404, Guelph, ON",Condo,549900,N/A,N/A,3,2
"36 LAURIS Avenue, Cambridge, ON",Vacant Land,379900,N/A,N/A,N/A,0
"95 ELGIN Street N, Cambridge, ON",Vacant Land,349900,N/A,N/A,N/A,0
"103 - 105 CONROY CRESCENT, Guelph (College), ON",Condo,375000,N/A,N/A,2,1
"237 KING Street W Unit# 102, Cambridge, ON",Condo,469900,1000,2868,2,2
"23 WOODLAWN Road E Unit# 510, Guelph, ON",Condo,609000,1436,3919,3,2
"758 BLEAMS Road Unit# A, Kitchener, ON",Condo,430000,516,N/A,1,1
"6 FERNDALE AVENUE, Guelph (Brant), ON",Single Family,830000,N/A,N/A,5,2
"106 - 10 BIRMINGHAM DRIVE N, Cambridge, ON",Single Family,719900,N/A,3988,3,2
"227 EAGLE Street S, Cambridge, ON",Single Family,625000,1300,N/A,3,1
"245 AINSLIE Street S, Cambridge, ON",MultiFamily,899000,3560,N/A,7,0
"245 AINSLIE Street S, Cambridge, ON",Vacant Land,899000,N/A,N/A,N/A,0
"15 ROLLING BROOK Lane, New Hamburg, ON",Single Family,590000,N/A,2008,2,2
"267 TRAYNOR Avenue, Kitchener, ON",MultiFamily,4595000,17000,N/A,34,18
"102 WATERMILL STREET, Kitchener, ON",Single Family,849000,N/A,4700,4,4
"59 ANNA Street, Elmira, ON",Single Family,649900,1759,N/A,2,3
"7216 WELLINGTON RD 124 Road, Guelph/Eramosa, ON",Single Family,847000,2044,N/A,2,2
"501 - 283 FAIRWAY ROAD N, Kitchener, ON",Condo,364999,N/A,N/A,2,1
"73 ARTHUR Street S Unit# 501, Guelph, ON",Condo,598800,642,3200,2,1
"135 STEWART Avenue, Cambridge, ON",Single Family,619900,1563,N/A,3,1
"48 MACALISTER BOULEVARD, Guelph, ON",Single Family,1795000,4116,9145,4,3
"94 HAROLD Avenue, Kitchener, ON",Single Family,797990,1642,N/A,3,2
"103 ROGER Street Unit# 609, Waterloo, ON",Condo,379900,570,N/A,1,1
"442-448 RIVER Road, Cambridge, ON",Vacant Land,7499000,N/A,N/A,N/A,0
"600 VICTORIA Street S Unit# 9, Kitchener, ON",Condo,499500,1011,2023,2,2
"47 WELLINGTON STREET Street, Tavistock, ON",Single Family,625900,1523,N/A,2,3
"J138 - 25 ISHERWOOD AVENUE, Cambridge, ON",Condo,799000,N/A,4300 (2024),3,3
"1207 - 237 KING STREET W, Cambridge, ON",Condo,439900,N/A,2090,1,2
"251 NORTHFIELD Drive Unit# 418, Waterloo, ON",Condo,429999,580,N/A,1,1
"42 LIVERPOOL Street, Guelph, ON",Single Family,2275000,4521,12156,6,4
"15 HAWTHORNE Road, Cambridge, ON",Single Family,1280000,4350,N/A,5,3
"182 ROLLING MEADOWS Drive, Kitchener, ON",Single Family,799000,N/A,4811,3,3
"1720 BEAVERDALE Road Unit# (15 acres), Cambridge, ON",Vacant Land,5000000,N/A,N/A,N/A,0
"776 LAURELWOOD Drive Unit# 405, Waterloo, ON",Condo,539000,669,2500,1,1
"49 - 19 RIDGE ROAD, Cambridge, ON",Single Family,799000,N/A,4400 (2024),3,3
"40 HILBORN CRESCENT, Blandford Blenheim, ON",Single Family,945990,N/A,N/A,4,3
"416 CLAIRBROOK Crescent, Waterloo, ON",Single Family,1300000,3783,6057,4,4
"912 - 15 GLEBE STREET, Cambridge, ON",Condo,598800,N/A,4467,2,2
"90 PROGRESS CRESCENT, Kitchener, ON",Condo,689000,N/A,N/A,2,3
"251 NORTHFIELD Drive E Unit# 620, Waterloo, ON",Condo,530000,842,N/A,3,2
"185 WINDALE Crescent Unit# 6C, Kitchener, ON",Condo,319900,477,1842,1,1
"55 DUKE Street W Unit# 321, Kitchener, ON",Condo,439900,647,N/A,1,1
"147 - 10 BIRMINGHAM DRIVE, Cambridge, ON",Single Family,699000,N/A,N/A,3,2
"1276 SWAN Street, Ayr, ON",Single Family,869000,2732,N/A,3,3
"79 IRONSTONE DRIVE, Cambridge, ON",Single Family,750000,N/A,4453 (2024),3,3
"09 - 45 BLAIR ROAD, Cambridge, ON",Condo/Townhome,1199000,N/A,7021,3,4
"580 BEAVER CREEK Road Unit# 270, Waterloo, ON",Single Family,109900,900,N/A,2,1
"4 MCNULTY LANE, Guelph (Pine Ridge), ON",Single Family,1389999,N/A,8594,6,4
"44 WHEAT Lane, Kitchener, ON",Condo,599900,1225,3207,2,3
"3 - 32 FAITH STREET N, Cambridge, ON",Single Family,1219000,N/A,N/A,4,4
"167 SEABROOK DRIVE, Kitchener, ON",Single Family,899900,N/A,N/A,3,4
"926 - 145 COLUMBIA STREET, Waterloo, ON",Condo,490000,N/A,5146,2,1
"574 BONAVISTA Drive, Waterloo, ON",Single Family,759900,1521,N/A,3,2
"121 UNIVERSITY Avenue E Unit# 43, Waterloo, ON",Condo,525000,1502,3050,3,3
"6 ROSSFORD CRESCENT, Kitchener, ON",Single Family,879999,N/A,3600 (2024),5,2
"202 DUNDAS Avenue, Kitchener, ON",MultiFamily,875000,2497,3793,4,3
"219 FRANKLIN STREET S, Kitchener, ON",Single Family,799999,N/A,N/A,3,2
"243 NORTHFIELD Drive Unit# 511, Waterloo, ON",Condo,515000,832,N/A,2,2
"64 BENTON Street Unit# 503, Kitchener, ON",Condo,259900,N/A,N/A,1,1
"1880 S GORDON Street Unit# 201, Guelph, ON",Condo,675000,1183,N/A,2,2
"N/A ERBSVILLE Road, Waterloo, ON",Agricultural,9000,0,N/A,0,0
"438 FORESTLAWN ROAD, Waterloo, ON",Single Family,1325000,N/A,N/A,5,3
"216 KING Street S, Waterloo, ON",Townhome,2145000,5784,10625,10,6
"8 CROYDEN Place, Waterloo, ON",Single Family,995000,2196,N/A,3,2
"D303 - 71 BAYBERRY DRIVE, Guelph (Village), ON",Condo,529900,N/A,N/A,1,1
"1530 GREENFIELD Road Unit# Lot A, Cambridge, ON",Vacant Land,975000,N/A,N/A,N/A,0
"525 ERINBROOK Drive Unit# C064, Kitchener, ON",Condo,509900,1222,N/A,2,2
"430 - 308 LESTER STREET, Waterloo, ON",Condo,375000,N/A,N/A,1,1
"90 NEEVE Street, Guelph, ON",Single Family,625000,1252,N/A,3,1
"108 - 107 BAGOT STREET, Guelph (Onward Willow), ON",Condo,446900,N/A,2125 (2024),2,1
"212 - 308 LESTER STREET, Waterloo, ON",Condo,369900,N/A,N/A,1,1
"332 GOSLING Gardens Unit# 205, Guelph, ON",Condo,629000,1014,N/A,2,2
"253 LESTER Street Unit# 1, Waterloo, ON",Condo,300000,595,2095,2,1
"380 ROSE Street, Cambridge, ON",Single Family,1249777,N/A,N/A,5,3
"929 DUNNIGAN Court, Kitchener, ON",Single Family,1299000,2842,N/A,4,3
"60 MONARCH WOODS Drive, Waterloo, ON",Single Family,1299000,2783,7498,4,4
"13 - 88 DECORSO DRIVE, Guelph (Village), ON",Single Family,699000,N/A,N/A,3,2
"32 RAMORE Street, Cambridge, ON",Single Family,519000,953,N/A,3,1
"275 SUNVIEW Street, Waterloo, ON",MultiFamily,950000,975,5815,3,2
"275 SUNVIEW STREET, Waterloo, ON",Single Family,950000,N/A,5815 (2024),3,1
"65 TILBURY STREET, Woolwich, ON",Single Family,1069900,N/A,5148,4,3
"275 SUNVIEW Street, Waterloo, ON",Vacant Land,950000,N/A,N/A,N/A,0
"273 SUNVIEW STREET, Waterloo, ON",Single Family,950000,N/A,N/A,4,2
"7 JACOB DETWEILLER Drive, Kitchener, ON",Single Family,979900,1910,N/A,4,3
"273 SUNVIEW Street, Waterloo, ON",Vacant Land,950000,N/A,N/A,N/A,0
"273 SUNVIEW Street, Waterloo, ON",MultiFamily,950000,1278,N/A,0,0
"16 - 205 WEST OAK TRAIL, Kitchener, ON",Condo,599499,N/A,3175,2,2
"4 HILBORN CRESCENT, Blandford Blenheim, ON",Single Family,749990,N/A,N/A,3,3
"21 - 355 MACALISTER BOULEVARD, Guelph (Village), ON",Condo,770000,N/A,4424,3,3
"408 - 103 ROGER STREET, Waterloo, ON",Condo,409900,N/A,N/A,1,1
"405 KINGSCOURT Drive Unit# 4, Waterloo, ON",Condo/Townhome,575000,N/A,N/A,2,2
"122 DEER CREEK Street, Kitchener, ON",Single Family,1880000,N/A,N/A,5,6
"401 FOUNTAIN STREET S, Cambridge, ON",Single Family,799000,N/A,N/A,5,2
"82 CARNABY CRESCENT, Kitchener, ON",Single Family,1338800,N/A,N/A,8,3
"1602 - 318 SPRUCE STREET, Waterloo, ON",Condo,509900,N/A,N/A,2,2
"384 ERB Street W Unit# 202, Waterloo, ON",Condo,419000,1095,N/A,2,1
"155 CAROLINE Street S Unit# 504, Waterloo, ON",Condo,509900,671,N/A,2,1
"202 DUNDAS Avenue, Kitchener, ON",Single Family,875000,N/A,N/A,4,3
"741 KING Street Unit# 611, Kitchener, ON",Condo,384800,457,N/A,1,1
"800 MYERS Road Unit# 205, Cambridge, ON",Condo,649800,1622,N/A,3,3
"207 - 308 LESTER STREET, Waterloo, ON",Condo,370000,N/A,N/A,1,1
"92 ERB Street E, Waterloo, ON",Vacant Land,2800000,N/A,N/A,N/A,0
"1206 - 5 SAN ROMANO WAY, Toronto (Black Creek), ON",Condo,379900,N/A,N/A,1,1
"142 FOAMFLOWER Place Unit# C037, Waterloo, ON",Condo,584700,1090,N/A,3,2
"83 ELMSDALE Drive Unit# 131, Kitchener, ON",Condo,520000,920,N/A,2,2
"155 CAROLINE Street S Unit# 1104, Waterloo, ON",Condo,549900,671,3882,2,1
"220 GORDON Street, Guelph, ON",MultiFamily,7750000,9382,N/A,37,21
"230 HIGHLAND Road W, Kitchener, ON",Single Family,1098888,2962,N/A,6,4
"257 HEMLOCK Street Unit# 415, Waterloo, ON",Condo,315000,320,N/A,0,1
"17 VALENCIA Avenue, Kitchener, ON",Condo,609000,1472,N/A,2,3
"2 HILDA Place, Kitchener, ON",Single Family,749900,N/A,N/A,3,1
"2309 - 55 DUKE STREET W, Kitchener, ON",Condo,599000,N/A,4036 (2024),2,2
"6 RESURRECTION DRIVE, Kitchener, ON",Single Family,979000,N/A,5193,3,3
"840 FAIRWAY Crescent, Kitchener, ON",Single Family,749900,1225,3551,3,2
"1930 WEST RIVER ROAD, North Dumfries, ON",Single Family,1625000,N/A,7097,4,3
"10 PEARL Street, Guelph, ON",Single Family,654900,1124,3503,2,1
"176 FOREST Road, Cambridge, ON",Single Family,899900,1738,N/A,3,3
"237 KING Street W Unit# 910, Cambridge, ON",Condo,449000,997,N/A,2,2
"80 BLOOMFIELD CRESCENT, Cambridge, ON",Single Family,1259900,N/A,N/A,5,5
"3855 HESSEN STRASSE, Wellesley, ON",Single Family,3890000,2906,N/A,4,4
"3855 HESSEN STRASSE, Wellesley, ON",Agricultural,3890000,2906,N/A,4,4
"35 - 205 WEST OAK TRAIL, Kitchener, ON",Condo,599999,N/A,N/A,4,2
"139 SOUTH PARKWOOD Boulevard, Elmira, ON",Single Family,775000,2176,N/A,2,3
"3 HILBORN CRESCENT, Blandford Blenheim, ON",Single Family,739990,N/A,N/A,3,3
"489 EAST Avenue Unit# A, Kitchener, ON",Condo,349900,500,2330,1,1
"64 INGLESIDE Drive, Kitchener, ON",Single Family,499900,1296,2825,3,1
"63 SYLVAN Drive, Cambridge, ON",Vacant Land,495000,N/A,N/A,N/A,0
"20 BERKLEY Road Unit# 204, Cambridge, ON",Condo,649000,1600,N/A,2,2
"507 - 55 DUKE STREET W, Kitchener, ON",Condo,669900,N/A,N/A,3,2
"20 PALACE Street Unit# G3, Kitchener, ON",Condo,499900,1034,N/A,2,2
"57 - 166 DEERPATH DRIVE, Guelph (Parkwood Gardens), ON",Single Family,769000,N/A,N/A,3,3
"410 KING Street W Unit# 101, Kitchener, ON",Condo,399999,1304,N/A,2,1
"44 WALTER Street, Kitchener, ON",Single Family,1100000,N/A,N/A,7,2
"1474 WILDREN PLACE, Cambridge, ON",Single Family,590000,N/A,N/A,3,1
"323 SEKURA STREET, Cambridge, ON",Single Family,719999,N/A,3996 (2023),3,2
"64 FREDERICK Drive Unit# 102, Guelph, ON",Condo,369900,641,4986,N/A,0
"50 GRAND Avenue S Unit# 801, Cambridge, ON",Condo,648800,1165,4550,2,2
"PT LOT 19 OF 6975 CONCESSION 1 Road, Puslinch, ON",Vacant Land,999900,N/A,N/A,N/A,0
"51 COUNTRY CLUB ESTATES Drive, Elmira, ON",Single Family,999900,2200,N/A,3,3
"67 COUNTRY CLUB ESTATES Drive, Elmira, ON",Single Family,999900,2100,N/A,3,3
"55 COUNTRY CLUB ESTATES Drive, Elmira, ON",Single Family,1029900,2314,N/A,4,3
"63 COUNTRY CLUB ESTATES Drive, Elmira, ON",Single Family,1019900,2290,N/A,4,3
"524 KRUG Street, Kitchener, ON",MultiFamily,999900,2879,N/A,5,3
"524 KRUG Street, Kitchener, ON",Single Family,999900,2878,N/A,5,3
"120 HURON Street Unit# 301, Guelph, ON",Condo,539000,744,N/A,1,1
"110 ACTIVA Avenue Unit# E32, Kitchener, ON",Condo/Townhome,649000,1450,N/A,3,2
"107 - 288 ALBERT STREET, Waterloo, ON",Condo,650000,N/A,N/A,4,3
"201 BRANDENBURG Court, Waterloo, ON",Single Family,1049000,3174,5202,5,4
"618 THOMAS SLEE DRIVE, Kitchener, ON",Single Family,1349000,N/A,N/A,8,5
"18 MCLACHLAN PLACE, Guelph (West Willow Woods), ON",Single Family,1159000,N/A,N/A,3,3
"27 - 51 PAULANDER DRIVE, Kitchener, ON",Condo,589900,N/A,N/A,3,2
"1225 QUEENSTON ROAD S, Cambridge, ON",Single Family,639999,N/A,N/A,5,2
"464 HAZEL STREET, Waterloo, ON",Single Family,939900,N/A,N/A,6,4
"23A - 1430 HIGHLAND ROAD, Kitchener, ON",Condo/Townhome,529000,N/A,N/A,2,2
"19 NORTHWOOD CRESCENT, Guelph (Parkwood Gardens), ON",Single Family,799900,N/A,5437,3,3
"2 - 264 BLAIR ROAD, Cambridge, ON",Condo,1150000,N/A,N/A,4,3
"500 BEAVERDALE Road, Cambridge, ON",Vacant Land,4000,N/A,N/A,N/A,0
"51 - 167 ARKELL ROAD, Guelph (Pine Ridge), ON",Condo,740000,N/A,5133 (2024),3,4
"1 - 264 BLAIR ROAD, Cambridge, ON",Condo,1195000,N/A,N/A,5,3
"264 BLAIR Road Unit# 3, Cambridge, ON",Condo,1195000,2007,N/A,5,3
"38 WEIR Drive, Guelph, ON",Single Family,1589900,2962,N/A,5,5
"25 KAY CRES Crescent Unit# LL14, Guelph, ON",Condo,549000,N/A,N/A,2,2
"136 BLACKLOCK STREET, Cambridge, ON",Single Family,1550000,N/A,N/A,5,5
"253 ALBERT Street Unit# 306, Waterloo, ON",Condo,479900,954,N/A,2,2
"275 GREEN GATE Boulevard, Cambridge, ON",Single Family,1359900,2290,N/A,3,3
"50 GRAND Avenue S Unit# 1711, Cambridge, ON",Condo,639900,1007,N/A,2,2
"19 SIMMONDS DR Unit# 28, Guelph, ON",Condo/Townhome,1375000,2280,N/A,3,3
"144 BLOOMFIELD CRESCENT, Cambridge, ON",Single Family,1249900,N/A,N/A,5,5
"84 EAST Street Unit# C, Cambridge, ON",Single Family,489900,1423,1,2,1
"85 SPRUCE Street Unit# 101, Cambridge, ON",Condo,864900,2069,N/A,2,3
"4961 WELLINGTON 29 ROAD, Guelph/Eramosa, ON",Single Family,2200000,N/A,6638 (2024),4,4
"312 ERB Street W Unit# 418, Waterloo, ON",Condo,435000,N/A,N/A,1,1
"904 - 63 ARTHUR STREET S, Guelph (Two Rivers), ON",Condo,599000,N/A,N/A,2,1
"50 WENGER Road, Breslau, ON",Single Family,1098900,1301,N/A,2,3
"15 WELLINGTON Street S Unit# 1704, Kitchener, ON",Condo,435000,608,N/A,2,1
"48 ROCHELLE Drive, Guelph, ON",Single Family,999000,1245,N/A,6,3
"393 WOODLAWN Road W, Guelph, ON",Single Family,1200000,1000,N/A,3,1
"14 JAMES Court, Heidelberg, ON",Single Family,3450000,6435,N/A,4,4
"58 BROOK STREET E, Cambridge, ON",Single Family,729000,N/A,4106,4,2
"18 - 121 UNIVERSITY AVENUE E, Waterloo, ON",Condo,599900,N/A,N/A,3,3
"4073 WEIMAR LINE, Wellesley, ON",Single Family,1450000,N/A,N/A,4,3
"450 HESPELER Road Unit# G109, Cambridge, ON",Condo,1250000,1981,12,N/A,0
"7177 ARISS VALLEY Road, Guelph/Eramosa, ON",Single Family,1629000,2919,7138,8,5
"26 - 293 FAIRWAY ROAD N, Kitchener, ON",Condo,429900,N/A,N/A,2,1
"53 PAUL Avenue, Guelph, ON",Vacant Land,1595000,N/A,N/A,N/A,0
"102 EMMA Street, Guelph, ON",Vacant Land,1295000,N/A,N/A,N/A,0
"223 ERB Street W Unit# 504, Waterloo, ON",Condo,499000,961,N/A,2,2
"741 KING Street W Unit# 406, Kitchener, ON",Condo,459800,629,N/A,1,1
"300 FOREST CREEK DRIVE, Kitchener, ON",Single Family,1680000,N/A,N/A,4,4
"1445 WEST RIVER Road, North Dumfries, ON",Single Family,5549900,N/A,N/A,5,5
"BLK J - 83 ELMSDALE DRIVE STREET N, Kitchener, ON",Condo,520000,N/A,N/A,2,2
"B211 - 275 LARCH STREET, Waterloo, ON",Condo,500000,N/A,N/A,2,2
"642 GLEN FORREST Boulevard, Waterloo, ON",Single Family,719900,1175,N/A,3,1
"30 JOHN BRABSON Crescent, Guelph, ON",Single Family,929888,1874,N/A,4,3
"140 BROKEN OAK Crescent, Kitchener, ON",Single Family,729900,N/A,N/A,3,2
"3511 - 60 FREDERICK STREET N, Kitchener, ON",Condo,398000,N/A,N/A,2,1
"701 ERAMOSA Road, Guelph, ON",Vacant Land,3999999,N/A,N/A,N/A,0
"43 SECORD Avenue, Kitchener, ON",MultiFamily,1095000,3174,6237,8,3
"69 AVENUE ROAD, Cambridge, ON",Single Family,639000,N/A,N/A,3,3
"43 6 Avenue, Kitchener, ON",MultiFamily,1349000,5325,6886,0,6
"5 - 275 MAX BECKER DRIVE, Kitchener, ON",Condo,599900,N/A,N/A,3,2
"60 CHARLES Street W Unit# 1601, Kitchener, ON",Condo,489900,682,N/A,2,1
"506 - 251 LESTER STREET, Waterloo, ON",Condo,599000,N/A,3841,5,2
"7 SQUIRE Court, Waterloo, ON",Single Family,2999900,3622,N/A,5,4
"707 - 251 HEMLOCK STREET, Waterloo, ON",Condo,515000,N/A,2634,2,2
"15 SITLER STREET, Kitchener, ON",Single Family,999000,N/A,N/A,4,3
"318 SPRUCE Street Unit# 1501, Waterloo, ON",Condo,394500,703,3652,1,2
"402 - 188 KING STREET SOUTH STREET S, Waterloo, ON",Condo,550000,N/A,N/A,2,2
"120 WESTMINSTER Drive S, Cambridge, ON",MultiFamily,1024900,2660,12028,2,4
"1405 KING STREET E, Cambridge, ON",Single Family,599999,N/A,6774 (2023),3,2
"17 VALLEYBROOK DRIVE, Kitchener, ON",Single Family,749997,N/A,N/A,3,3
"1105 - 128 KING STREET N, Waterloo, ON",Condo,439900,N/A,N/A,1,1
"355 FISHER MILLS Road Unit# 66, Cambridge, ON",Single Family,699900,1667,3348,4,3
"38 PLEASANT Road, Guelph, ON",Single Family,749900,1386,4609,5,3
"36 TALLWOOD Drive, West Montrose, ON",Single Family,2750000,2491,N/A,4,2
"35 KINGSBURY SQUARE Square Unit# 313, Guelph, ON",Condo,584900,967,N/A,2,2
"1430 HIGHLAND Road W Unit# 25B, Kitchener, ON",Condo,499900,N/A,N/A,2,2
"45 QUEENSGATE Crescent, Breslau, ON",Single Family,1099999,2460,N/A,4,3
"1878 GORDON Street Unit# 115, Guelph, ON",Single Family,789900,1339,N/A,2,2
"111 MILL RACE Crescent, St. Jacobs, ON",Single Family,695900,1653,N/A,3,3
"1102 - 144 PARK STREET, Waterloo, ON",Condo,637000,N/A,N/A,2,2
"325 - 112 BENTON STREET, Kitchener, ON",Condo,819900,N/A,N/A,3,2
"45 REGENT STREET, Guelph (Central East), ON",Single Family,699000,N/A,4621,2,2
"178-180 SAMUEL STREET, Kitchener, ON",Single Family,949900,N/A,N/A,6,4
"73 WATER Street S, Kitchener, ON",Single Family,769000,1220,3793,3,2
"1101 - 55 DUKE STREET W, Kitchener, ON",Condo,600000,N/A,N/A,2,2
"251 FARLEY DRIVE, Guelph (Pine Ridge), ON",Single Family,1249900,N/A,N/A,4,4
